Salary,Assets,ExistingLoans,CreditScore,NumAccounts,PropertyOwnership,VoterRegistration,TotalIncome,Creditworthy,Fraud
12631,31912,2,539,3,Owns Property,Registered,17768,0,0
18294,50554,3,615,2,Owns Property,Registered,23074,1,0
34256,24015,0,615,2,Owns Property,Registered,38705,1,0
20164,41538,1,630,2,Owns Property,Registered,27653,1,0
86503,71076,0,631,2,Rents Property,Registered,90433,0,0
21306,78636,1,591,3,Owns Property,Registered,24043,0,0
14047,44367,1,709,3,Owns Property,Registered,20389,1,0
38714,59134,2,671,1,Owns Property,Registered,43399,0,0
33086,101687,1,664,1,Owns Property,Registered,36914,1,0
9027,82772,4,590,3,Owns Property,Registered,13051,1,0
23074,44143,2,683,3,Owns Property,Registered,27357,0,0
55230,32042,4,581,2,Owns Property,Registered,58747,0,0
63234,50132,2,624,2,Owns Property,Not Registered,71343,1,0
68644,84063,3,602,3,Owns Property,Registered,75823,1,0
17435,34199,2,623,3,Owns Property,Registered,19853,1,0
56937,19362,4,655,3,Owns Property,Registered,60689,1,0
39484,59738,1,559,3,Rents Property,Registered,43753,0,0
21221,53313,1,623,2,Owns Property,Registered,21543,0,0
142774,53401,1,609,1,Owns Property,Registered,146422,0,0
37973,49646,2,633,2,Rents Property,Registered,43904,0,0
34935,47959,2,609,2,Owns Property,Registered,39496,0,0
22964,31716,4,669,2,Owns Property,Registered,30505,1,0
56649,56745,3,626,2,Owns Property,Registered,62447,0,0
44758,50573,3,581,2,Owns Property,Registered,52559,0,0
8650,82322,2,661,2,Owns Property,Not Registered,14971,0,0
58693,45991,0,718,2,Owns Property,Registered,63404,1,0
21554,52072,2,596,1,Owns Property,Registered,24495,1,0
116525,26301,2,729,1,Rents Property,Registered,119175,0,0
25487,32302,3,712,1,Owns Property,Registered,31103,0,0
66704,60249,3,605,1,Rents Property,Registered,73532,0,0
41035,81768,4,725,3,Rents Property,Registered,46320,1,0
22631,54398,0,583,3,Owns Property,Not Registered,28517,0,0
24037,45917,1,667,3,Owns Property,Registered,30401,1,0
122578,23544,3,653,2,Owns Property,Not Registered,126767,1,0
30341,52446,0,568,2,Rents Property,Registered,36282,0,0
25635,70132,0,657,1,Rents Property,Registered,31708,1,0
19776,40153,4,683,1,Rents Property,Registered,22556,0,0
105647,40189,1,572,2,Rents Property,Registered,110976,1,0
157726,34455,4,679,2,Owns Property,Registered,163557,0,0
106157,64759,0,639,2,Owns Property,Registered,111901,0,0
70592,50552,4,629,2,Owns Property,Registered,76137,0,0
43428,44586,1,645,1,Owns Property,Registered,49996,0,0
25537,60464,2,705,2,Owns Property,Registered,34935,0,0
28830,39532,3,614,2,Owns Property,Registered,34218,0,0
72636,31664,1,713,3,Owns Property,Registered,80799,0,0
56277,53915,4,676,1,Rents Property,Not Registered,57881,1,0
106285,46754,3,703,3,Rents Property,Not Registered,111570,0,0
45341,51025,2,726,3,Owns Property,Registered,47188,0,0
119007,72146,4,685,2,Owns Property,Registered,122994,0,0
159509,59082,3,580,3,Owns Property,Registered,167886,0,0
25710,32226,3,644,2,Owns Property,Not Registered,32314,0,0
34331,48980,3,590,3,Owns Property,Registered,39548,1,0
44344,43902,2,653,3,Rents Property,Registered,51630,1,0
14765,44784,2,553,2,Owns Property,Registered,20269,1,0
128729,31916,2,569,1,Owns Property,Registered,132933,1,0
27388,44630,1,705,3,Owns Property,Registered,28989,1,0
31516,38636,0,626,2,Owns Property,Registered,37365,1,0
50854,43729,0,612,1,Rents Property,Not Registered,53925,0,0
33208,50238,0,669,1,Rents Property,Registered,38185,1,0
12488,44991,0,602,2,Rents Property,Not Registered,17262,0,0
101918,24753,2,590,3,Owns Property,Registered,106161,0,0
32214,42028,0,658,2,Rents Property,Not Registered,37856,1,0
81283,40805,2,785,1,Owns Property,Not Registered,89891,0,0
105082,59756,4,619,1,Owns Property,Registered,110416,1,0
27816,54833,2,610,2,Owns Property,Registered,32643,0,0
63233,60369,1,621,2,Owns Property,Registered,67783,1,0
87432,53850,0,626,2,Owns Property,Not Registered,92474,0,0
83586,51364,2,692,1,Rents Property,Registered,90707,1,0
108548,49423,4,545,2,Owns Property,Not Registered,106825,0,0
88481,66767,3,603,1,Rents Property,Not Registered,92961,0,0
26210,71565,4,593,2,Rents Property,Registered,26548,1,0
70793,56031,0,615,3,Owns Property,Registered,74838,1,0
42454,58620,1,716,1,Owns Property,Registered,47564,1,0
25466,32579,2,689,1,Owns Property,Registered,32488,0,0
50366,45655,2,665,3,Owns Property,Registered,56909,1,1
89667,47704,3,582,1,Rents Property,Registered,97359,0,0
36969,42222,1,679,3,Rents Property,Registered,41266,0,0
12974,76557,2,730,1,Rents Property,Registered,16137,0,0
27080,53405,2,655,2,Rents Property,Not Registered,30905,1,0
19751,47324,2,683,1,Owns Property,Registered,26039,0,0
47950,29936,3,692,2,Owns Property,Registered,55741,1,0
124119,60448,0,685,2,Rents Property,Registered,129977,1,0
22821,57609,3,555,2,Owns Property,Registered,26843,0,0
19367,39431,3,670,3,Rents Property,Registered,21611,1,0
104329,42269,4,631,3,Rents Property,Not Registered,108858,1,0
23110,41161,2,602,3,Owns Property,Registered,29469,0,0
18535,53898,0,661,1,Rents Property,Registered,21012,1,0
65267,43837,4,693,3,Owns Property,Registered,74261,1,0
26127,33620,2,747,2,Owns Property,Registered,30723,0,0
60950,78375,2,672,3,Owns Property,Not Registered,67959,0,0
98399,53245,3,627,3,Rents Property,Registered,101256,0,0
45563,30829,1,500,3,Rents Property,Registered,49640,0,0
144398,30949,4,638,3,Owns Property,Registered,152055,1,0
15136,61021,3,620,2,Owns Property,Registered,17773,0,0
34827,34173,4,605,3,Rents Property,Not Registered,40928,1,0
35014,39986,2,736,1,Owns Property,Registered,38276,0,0
24040,30855,3,647,1,Owns Property,Registered,27214,0,0
36666,39244,0,572,2,Rents Property,Registered,41512,0,0
25879,60921,2,637,2,Rents Property,Registered,29556,1,0
34357,49660,4,597,2,Rents Property,Registered,39970,1,0
28932,40428,0,585,3,Rents Property,Registered,33459,0,0
61499,25703,4,667,1,Owns Property,Not Registered,65029,0,0
94599,32033,2,634,2,Rents Property,Not Registered,99224,0,0
26872,42400,0,695,3,Rents Property,Registered,34913,0,0
18449,50272,2,616,2,Rents Property,Registered,21580,1,0
35989,56978,2,683,2,Rents Property,Registered,38849,0,0
27275,31914,3,681,1,Owns Property,Not Registered,30293,1,0
72974,55790,2,695,2,Owns Property,Registered,76040,0,0
25334,54157,1,605,2,Owns Property,Registered,28500,1,0
17102,53407,0,646,1,Rents Property,Registered,19442,0,0
13876,19894,2,604,1,Rents Property,Registered,20637,0,0
86074,51536,1,595,2,Owns Property,Registered,91423,1,0
20072,44506,0,803,1,Rents Property,Registered,24974,1,0
85050,46742,2,703,1,Owns Property,Registered,94852,0,0
24577,76255,3,678,3,Rents Property,Not Registered,30762,1,0
64411,24991,0,661,3,Owns Property,Registered,76519,0,0
136953,79607,2,664,3,Owns Property,Not Registered,144540,1,0
40791,12079,0,684,1,Owns Property,Registered,43363,0,0
118813,45256,3,592,1,Owns Property,Registered,121145,1,0
57239,58074,0,672,2,Rents Property,Registered,61208,0,0
98336,33123,1,686,1,Owns Property,Registered,102630,1,0
69375,54128,4,567,2,Owns Property,Registered,76929,0,0
37352,38798,3,606,1,Owns Property,Registered,41529,0,0
26788,53514,0,669,2,Owns Property,Not Registered,31566,1,0
66000,47541,0,571,3,Owns Property,Registered,68665,0,0
37713,47431,1,734,2,Rents Property,Registered,44035,1,0
91140,72322,0,664,1,Rents Property,Not Registered,98336,0,0
74955,65165,0,553,1,Owns Property,Registered,81504,1,0
67101,40955,1,651,1,Rents Property,Registered,72362,1,0
100495,59586,2,718,3,Owns Property,Registered,107545,1,0
105101,52484,4,616,2,Rents Property,Registered,111169,0,0
15130,37618,1,623,1,Owns Property,Not Registered,21710,1,0
24647,44625,1,643,3,Rents Property,Registered,28084,1,0
24392,63299,1,689,3,Owns Property,Registered,28808,1,0
160780,36125,2,654,3,Owns Property,Registered,167020,1,0
105275,44251,4,559,1,Owns Property,Registered,109346,1,0
20030,63223,4,613,3,Rents Property,Not Registered,29108,0,0
29908,64747,0,602,3,Rents Property,Registered,35756,1,0
106993,52452,1,688,3,Owns Property,Registered,113143,0,0
12609,38961,2,684,3,Rents Property,Registered,19717,1,0
46891,57511,2,630,1,Owns Property,Not Registered,52431,0,0
25818,24062,2,642,1,Owns Property,Not Registered,31761,1,0
37240,33699,1,726,1,Rents Property,Registered,41086,1,0
18014,70006,3,598,3,Rents Property,Registered,22340,0,0
14046,68845,3,662,3,Rents Property,Registered,19040,1,0
98015,38509,1,670,2,Owns Property,Not Registered,100824,0,0
34511,29988,0,649,2,Rents Property,Not Registered,42734,1,0
44338,30458,0,585,1,Owns Property,Registered,47060,1,0
43024,39733,0,708,1,Owns Property,Registered,45876,1,0
200180,52439,2,599,3,Owns Property,Registered,205199,1,0
96204,37075,2,682,3,Rents Property,Registered,102110,1,0
15907,44462,4,562,3,Owns Property,Registered,19452,1,0
24104,44793,2,629,1,Owns Property,Registered,28077,0,0
81165,61665,2,587,2,Rents Property,Registered,85622,0,0
87463,37011,2,624,2,Rents Property,Registered,92529,1,0
18019,48988,0,703,3,Owns Property,Registered,24304,1,0
35692,82170,3,624,2,Rents Property,Registered,39194,0,0
79338,48917,0,600,2,Owns Property,Registered,83492,1,0
89370,48209,4,608,2,Owns Property,Registered,95133,1,0
70722,45134,1,700,1,Owns Property,Registered,78082,0,0
24081,50893,1,710,2,Rents Property,Registered,30908,0,0
23825,50102,4,672,2,Rents Property,Not Registered,29590,0,0
40140,55662,2,667,1,Rents Property,Registered,41025,1,0
44692,72532,0,633,2,Owns Property,Registered,47943,0,0
188230,43137,3,733,2,Owns Property,Not Registered,191662,0,0
14746,44069,4,619,2,Owns Property,Registered,21774,1,0
106757,73771,0,726,1,Owns Property,Registered,109634,1,0
54960,42647,0,664,2,Owns Property,Registered,56888,1,0
44726,46302,0,563,2,Rents Property,Registered,50504,1,0
71310,50969,0,606,1,Rents Property,Registered,77303,0,0
66465,42314,0,603,3,Owns Property,Registered,69955,1,0
130595,52826,1,675,2,Rents Property,Not Registered,134711,1,0
12032,32422,2,645,1,Owns Property,Registered,20230,1,0
10277,22818,4,670,3,Owns Property,Not Registered,12524,1,0
22580,29338,2,617,1,Owns Property,Not Registered,25501,1,0
32868,67425,2,588,2,Owns Property,Registered,39091,1,0
80028,80340,2,622,3,Owns Property,Not Registered,85259,1,0
133016,25669,4,653,1,Rents Property,Registered,137882,0,0
17478,51348,2,628,3,Owns Property,Registered,19383,1,0
141504,60706,0,650,3,Rents Property,Registered,144590,0,0
88545,36137,2,639,3,Owns Property,Registered,92922,1,0
91489,58973,3,720,3,Owns Property,Registered,100285,0,0
35800,59516,3,627,1,Owns Property,Registered,39738,1,0
18098,51342,0,775,3,Owns Property,Registered,20133,0,0
177858,63771,3,556,3,Rents Property,Registered,181970,0,0
11077,48867,3,658,2,Owns Property,Not Registered,14643,1,0
73787,66498,1,638,2,Rents Property,Registered,79940,1,0
52797,54093,2,507,3,Rents Property,Registered,52572,0,0
123277,60063,0,667,3,Rents Property,Registered,126918,1,0
46374,74386,1,733,3,Owns Property,Registered,54229,1,0
31241,44758,0,663,1,Rents Property,Registered,37487,1,0
66424,40357,1,667,2,Owns Property,Not Registered,71551,1,0
22009,51957,0,662,2,Owns Property,Registered,25894,0,0
60043,34560,0,614,2,Owns Property,Registered,66392,1,0
19439,20957,3,664,1,Owns Property,Registered,25715,1,0
43328,24166,4,685,1,Owns Property,Registered,46081,1,0
27141,62683,3,694,2,Rents Property,Registered,34337,1,0
87229,41323,1,658,2,Rents Property,Not Registered,96697,0,0
19924,25116,2,683,1,Rents Property,Registered,24122,1,0
124969,41499,2,656,1,Rents Property,Registered,127948,0,0
24643,36645,1,612,2,Rents Property,Registered,31249,0,0
87430,33621,3,678,2,Rents Property,Registered,94294,1,0
33757,43403,2,719,1,Rents Property,Not Registered,38233,1,0
66201,66269,3,687,3,Owns Property,Not Registered,68800,0,0
85942,56651,4,640,3,Owns Property,Registered,91812,0,0
127890,45622,1,664,2,Owns Property,Registered,127083,0,0
24570,54670,3,688,2,Owns Property,Registered,29852,1,0
131879,60188,0,668,1,Rents Property,Registered,130493,0,0
79457,55763,2,666,3,Owns Property,Not Registered,83605,1,0
54137,55665,0,654,2,Owns Property,Registered,61550,1,0
32170,45008,2,635,2,Rents Property,Registered,41481,1,0
99549,78291,1,646,1,Rents Property,Not Registered,106650,0,0
117375,47682,1,654,2,Rents Property,Registered,122712,0,0
8184,56016,3,737,3,Owns Property,Registered,14145,1,0
33331,40280,1,670,3,Owns Property,Registered,38791,0,0
18048,60397,1,658,1,Rents Property,Registered,20988,0,0
74703,65426,1,611,1,Rents Property,Not Registered,80549,1,0
85969,57082,0,617,3,Owns Property,Registered,90269,1,0
54788,64357,0,731,3,Rents Property,Registered,61378,1,0
88199,65425,1,563,2,Owns Property,Registered,95485,0,0
34448,64004,2,662,3,Owns Property,Registered,38561,1,0
21964,48800,1,703,1,Owns Property,Registered,26816,1,0
31612,59105,2,669,1,Owns Property,Not Registered,37101,1,0
53946,45816,3,712,1,Owns Property,Registered,59388,1,1
23344,51473,4,682,2,Rents Property,Registered,32747,1,0
32204,43185,0,679,2,Owns Property,Registered,36651,0,0
42175,28897,0,587,2,Rents Property,Registered,43422,1,0
30360,60909,3,683,1,Owns Property,Registered,34948,1,0
27697,39030,3,712,2,Rents Property,Registered,36515,0,0
20088,59056,2,652,1,Owns Property,Registered,25904,0,0
161663,63168,0,676,2,Owns Property,Registered,166877,0,0
17910,47135,4,594,3,Rents Property,Registered,20500,1,0
81225,67518,1,654,2,Rents Property,Registered,85954,1,0
19496,44323,1,675,2,Owns Property,Not Registered,27558,1,0
67385,44141,4,601,2,Rents Property,Registered,74590,1,0
38749,44370,1,635,2,Owns Property,Registered,46643,1,0
137581,45964,0,687,3,Owns Property,Registered,140098,1,0
103049,45707,4,689,2,Rents Property,Registered,109526,0,0
33955,47123,2,590,1,Owns Property,Registered,34851,1,0
114203,88098,3,658,2,Owns Property,Not Registered,119022,1,0
32574,36573,2,625,1,Rents Property,Not Registered,38201,0,0
101042,69093,0,630,2,Rents Property,Registered,108396,1,0
22263,48296,3,641,2,Rents Property,Registered,29127,1,0
143223,44917,3,686,2,Rents Property,Registered,150749,0,0
139602,59632,0,708,2,Owns Property,Registered,147407,0,0
19016,58392,1,635,3,Rents Property,Registered,23866,0,0
48460,39286,0,566,2,Rents Property,Registered,50797,0,0
95791,73829,2,640,1,Owns Property,Registered,101915,1,0
93771,34506,4,599,1,Owns Property,Registered,100466,1,0
128578,54794,4,735,3,Rents Property,Not Registered,132493,0,0
33793,37439,0,665,3,Rents Property,Registered,38942,0,0
27525,37684,1,664,1,Owns Property,Not Registered,33897,1,0
52225,65443,2,609,1,Rents Property,Registered,60293,1,0
33151,47174,4,587,2,Owns Property,Registered,35342,1,0
29422,60574,0,701,2,Rents Property,Registered,36884,0,0
49853,39017,0,673,2,Rents Property,Not Registered,54735,0,0
19542,24548,1,646,1,Owns Property,Not Registered,24212,1,0
25227,58129,1,724,3,Owns Property,Registered,32728,0,0
15078,57160,2,622,3,Owns Property,Registered,18997,1,0
34950,42928,1,743,3,Owns Property,Registered,41023,1,0
19438,56426,1,649,1,Owns Property,Registered,23054,1,0
40595,44272,1,637,3,Owns Property,Registered,45180,1,0
50396,72730,1,648,3,Owns Property,Not Registered,58347,1,0
27366,67352,3,608,2,Owns Property,Registered,33216,0,0
124268,42368,2,700,3,Owns Property,Registered,131831,1,0
20427,48971,1,676,1,Owns Property,Not Registered,21329,1,0
109990,76284,3,694,2,Owns Property,Registered,117629,0,0
44969,56729,1,595,1,Owns Property,Registered,47923,0,0
115785,54139,0,666,1,Owns Property,Registered,119529,1,1
41504,59343,1,615,3,Owns Property,Not Registered,45584,0,0
24501,72092,4,647,3,Owns Property,Registered,30254,1,0
167572,41123,1,586,3,Owns Property,Registered,173357,1,0
36176,64681,3,608,1,Rents Property,Registered,42402,0,0
104371,50331,2,703,1,Rents Property,Registered,110122,1,0
63609,64605,1,678,1,Owns Property,Registered,69389,0,0
71496,42374,2,618,3,Rents Property,Not Registered,75886,0,0
185336,65332,4,616,2,Rents Property,Registered,190791,0,0
145649,34627,0,593,2,Rents Property,Registered,151528,0,0
40935,26232,0,617,1,Owns Property,Registered,43103,0,0
31352,57998,3,604,1,Rents Property,Registered,37418,1,0
124995,64012,4,717,2,Rents Property,Registered,130437,0,0
84684,52930,1,644,3,Owns Property,Registered,91792,1,0
22216,78494,2,619,3,Rents Property,Registered,30230,1,0
52020,45553,4,674,1,Owns Property,Registered,60150,1,0
25598,69463,0,644,3,Owns Property,Registered,24182,1,0
103445,35857,3,650,3,Owns Property,Registered,106717,0,0
15408,52903,3,659,3,Owns Property,Registered,18372,1,0
37442,65975,3,620,1,Owns Property,Registered,42505,1,0
78262,70941,0,687,2,Rents Property,Registered,81943,1,0
213949,40624,2,651,3,Rents Property,Registered,220901,1,1
121427,29874,2,619,3,Rents Property,Not Registered,125083,0,0
24703,51038,4,683,3,Owns Property,Not Registered,30113,0,0
73992,62379,2,669,3,Rents Property,Registered,77425,1,0
170803,29453,0,653,1,Rents Property,Registered,176071,1,0
76823,62093,4,561,2,Owns Property,Registered,76637,0,0
91410,85480,2,682,1,Owns Property,Registered,95086,1,0
68169,25571,0,614,2,Rents Property,Registered,69659,0,0
24189,10824,2,654,2,Rents Property,Registered,31409,0,0
60901,24574,3,653,2,Owns Property,Registered,66129,0,0
36931,72649,1,646,2,Owns Property,Registered,41692,0,0
42996,41983,1,632,1,Owns Property,Registered,47206,0,0
126009,39057,2,670,1,Rents Property,Registered,130643,1,0
17482,40337,1,640,3,Owns Property,Registered,24601,1,0
57889,57367,4,618,2,Rents Property,Not Registered,62892,1,0
42016,67363,3,675,1,Owns Property,Registered,46232,0,0
19355,67461,3,663,2,Owns Property,Registered,20865,0,0
97619,64818,1,644,2,Rents Property,Registered,101520,0,0
93705,47258,1,555,1,Owns Property,Not Registered,98467,0,0
15384,49028,0,625,1,Owns Property,Registered,21129,0,0
61624,34290,4,623,2,Rents Property,Registered,67684,1,0
24331,71373,3,640,1,Rents Property,Registered,30754,0,0
24139,58395,0,576,2,Owns Property,Registered,28862,1,0
65169,51680,3,624,2,Owns Property,Not Registered,68360,0,0
40844,32816,0,640,1,Owns Property,Registered,45479,0,0
128142,15960,0,664,3,Rents Property,Registered,131255,0,0
25912,31658,1,610,2,Owns Property,Registered,27296,1,0
49161,57843,3,713,1,Rents Property,Registered,54990,1,0
17010,39773,4,679,3,Owns Property,Registered,18138,0,0
21978,72550,0,705,2,Owns Property,Registered,24788,0,0
87871,31382,0,687,3,Rents Property,Registered,92760,1,0
15194,49794,0,647,3,Rents Property,Registered,23494,1,0
24956,54510,2,641,3,Rents Property,Registered,28581,1,0
100603,18397,0,691,2,Rents Property,Not Registered,101452,0,0
73719,64643,0,627,1,Owns Property,Registered,78403,1,0
16813,45343,4,646,1,Rents Property,Registered,21615,0,0
68175,5216,0,619,3,Owns Property,Registered,71251,1,0
18019,44625,0,700,1,Rents Property,Registered,22518,1,0
69886,66066,3,563,1,Rents Property,Registered,73326,1,0
22807,35342,0,703,3,Owns Property,Registered,28493,0,0
58518,26293,0,707,3,Owns Property,Registered,62024,1,0
32791,26013,4,657,1,Owns Property,Registered,36316,1,0
34254,43923,3,728,3,Owns Property,Registered,40822,1,0
75476,61834,0,565,3,Owns Property,Registered,80046,1,0
96500,55029,0,684,2,Owns Property,Registered,100303,0,0
124640,19486,1,602,1,Rents Property,Not Registered,132660,1,0
102006,39948,0,696,3,Owns Property,Registered,107688,0,0
35932,59894,2,561,3,Owns Property,Registered,37526,0,0
58951,33336,2,714,1,Rents Property,Not Registered,61484,0,0
44704,43291,3,620,3,Owns Property,Registered,49488,0,0
61805,26261,3,597,3,Owns Property,Registered,68558,0,0
28540,48138,0,584,3,Owns Property,Registered,29221,0,0
54852,53436,1,652,3,Owns Property,Registered,57319,1,0
51970,75901,1,713,1,Rents Property,Registered,59694,1,0
157034,51168,3,668,2,Owns Property,Registered,160404,1,0
36400,54244,1,524,2,Rents Property,Registered,39781,0,0
16294,52484,2,680,1,Owns Property,Registered,18380,1,0
71748,42791,1,577,3,Owns Property,Registered,77835,1,0
104261,51433,3,677,3,Rents Property,Registered,105895,1,0
137599,76142,4,677,3,Rents Property,Registered,142382,0,0
67247,44288,0,695,1,Owns Property,Registered,73159,1,0
142064,32235,4,646,2,Owns Property,Registered,147206,0,0
28035,57757,2,608,1,Owns Property,Registered,33462,0,0
56950,31834,3,681,3,Owns Property,Registered,60724,1,0
93923,63287,4,757,3,Rents Property,Registered,101091,0,0
45047,30405,2,582,2,Owns Property,Registered,50849,0,0
19632,75882,1,582,2,Rents Property,Registered,21753,0,0
106239,53948,1,627,3,Owns Property,Registered,110192,0,0
118422,42223,2,647,2,Owns Property,Registered,127233,1,0
100609,58225,1,579,3,Owns Property,Registered,106338,0,0
131725,57315,4,684,3,Owns Property,Not Registered,138130,1,0
28678,56651,3,688,1,Rents Property,Registered,31287,0,0
40736,49860,1,622,2,Owns Property,Registered,47751,0,0
23044,45878,1,692,2,Owns Property,Registered,23845,1,0
79287,70636,4,754,3,Owns Property,Registered,84907,1,0
34422,46089,0,620,2,Owns Property,Registered,38791,1,0
22819,43622,0,539,2,Owns Property,Registered,27254,1,0
149797,56359,1,628,1,Owns Property,Registered,156848,1,0
24827,54558,1,708,1,Rents Property,Registered,27580,0,0
84303,33573,3,605,1,Rents Property,Registered,89776,0,0
20955,73808,1,576,1,Rents Property,Registered,26477,1,0
16401,29988,0,711,3,Owns Property,Registered,21906,1,0
21531,29590,1,589,3,Rents Property,Not Registered,29360,0,0
62039,76716,2,626,3,Rents Property,Not Registered,66960,1,0
40682,48991,4,759,1,Rents Property,Not Registered,46578,1,0
13429,53365,2,644,3,Owns Property,Registered,20501,1,0
75818,41407,1,671,3,Rents Property,Registered,79311,0,0
12890,45569,0,645,1,Rents Property,Registered,17576,1,0
68234,66538,2,617,1,Rents Property,Registered,70690,1,0
39195,59046,3,627,2,Rents Property,Registered,45316,1,0
25703,57959,0,623,1,Rents Property,Registered,30919,0,0
65504,32143,3,652,3,Owns Property,Registered,71975,1,0
98757,47053,1,700,1,Owns Property,Registered,103599,1,0
130515,60363,0,638,2,Rents Property,Registered,134422,0,0
124699,20773,0,687,3,Owns Property,Registered,130426,0,0
165702,36690,2,696,1,Rents Property,Registered,173583,1,0
25614,61527,2,683,2,Owns Property,Registered,31778,1,0
140431,33427,4,615,2,Owns Property,Registered,142573,0,1
156579,40562,2,695,2,Owns Property,Registered,161956,1,0
103485,65584,2,565,1,Rents Property,Registered,112738,0,0
33706,57375,3,633,2,Owns Property,Registered,37386,0,0
110321,61206,2,622,3,Owns Property,Registered,114349,0,0
28819,57036,2,725,3,Owns Property,Registered,29902,0,0
98425,57291,3,730,2,Owns Property,Registered,103248,1,0
19543,51170,1,675,2,Rents Property,Registered,23635,0,0
120611,30824,3,615,1,Owns Property,Registered,126561,0,0
32696,44217,1,641,1,Owns Property,Registered,37718,0,0
8481,46426,4,640,2,Owns Property,Registered,13854,1,0
109527,26846,4,700,2,Owns Property,Not Registered,115635,1,0
43995,41644,3,673,2,Owns Property,Registered,45359,0,0
60037,44468,4,651,1,Owns Property,Registered,67327,1,0
15844,71448,2,615,1,Owns Property,Not Registered,21673,0,0
85419,22742,3,629,3,Owns Property,Not Registered,92365,1,0
55536,51380,1,585,3,Owns Property,Registered,61371,0,0
24540,55359,3,701,1,Owns Property,Registered,30319,0,0
46738,60750,0,628,1,Rents Property,Not Registered,51374,0,0
70526,66162,4,618,1,Rents Property,Not Registered,74548,1,0
125653,31976,4,688,3,Owns Property,Registered,132396,0,0
30386,43314,4,662,1,Owns Property,Registered,36255,0,0
32449,59695,3,618,3,Rents Property,Registered,36761,0,0
43125,44394,1,584,2,Owns Property,Registered,50791,0,0
191056,52359,4,659,3,Owns Property,Registered,195683,1,0
48634,67288,3,598,3,Owns Property,Registered,54442,1,0
20804,64139,3,641,1,Rents Property,Registered,23507,0,0
25573,57919,3,732,2,Owns Property,Registered,29677,0,0
46212,68246,1,599,3,Owns Property,Registered,48995,0,0
57512,38330,1,595,3,Owns Property,Registered,60317,1,0
26771,46543,1,669,3,Rents Property,Not Registered,31378,0,0
83579,50953,4,671,2,Owns Property,Registered,87512,0,0
28644,36402,4,693,1,Rents Property,Not Registered,35562,0,0
28520,69243,2,737,1,Owns Property,Registered,32246,0,0
25855,58903,2,676,2,Owns Property,Registered,31826,0,0
57668,56603,2,630,3,Rents Property,Registered,61185,1,0
78463,29369,3,703,1,Owns Property,Registered,83441,0,0
21823,32919,0,663,1,Owns Property,Registered,24628,1,1
46943,33756,2,676,3,Owns Property,Registered,53275,1,0
13859,13294,1,590,1,Owns Property,Registered,21814,0,0
86751,51856,4,657,1,Owns Property,Registered,89424,1,0
61420,14165,1,750,1,Rents Property,Not Registered,67576,1,0
26535,46482,2,648,3,Rents Property,Registered,34726,0,0
17791,71047,1,628,1,Owns Property,Registered,21149,0,0
87468,52857,1,764,1,Rents Property,Registered,95387,1,0
59396,39783,0,688,1,Owns Property,Not Registered,64463,0,0
18669,47373,3,696,3,Rents Property,Not Registered,23441,1,0
71521,63819,4,629,1,Rents Property,Registered,75932,0,0
72154,53905,4,683,2,Owns Property,Registered,76597,0,0
67077,35973,0,657,1,Owns Property,Registered,69640,0,0
92634,50939,4,736,1,Owns Property,Registered,96470,0,0
31053,49112,2,716,3,Rents Property,Registered,40328,0,0
69597,30853,3,672,1,Rents Property,Registered,71743,0,0
137115,65464,1,673,1,Rents Property,Registered,142467,1,0
191676,11589,4,620,1,Rents Property,Not Registered,196507,0,0
26179,50662,0,649,1,Owns Property,Registered,30879,1,0
53308,46894,4,686,2,Owns Property,Registered,56713,1,0
18220,39190,1,695,1,Owns Property,Registered,19755,0,0
35117,36581,2,643,3,Rents Property,Registered,40675,0,0
92408,85283,4,689,2,Rents Property,Not Registered,96107,1,0
95740,40017,3,711,1,Owns Property,Registered,100911,0,0
13981,43306,3,740,3,Owns Property,Registered,17487,0,0
108250,53621,0,744,2,Owns Property,Registered,114272,0,0
20777,42786,3,561,1,Owns Property,Registered,25651,0,0
31651,38286,1,586,2,Rents Property,Registered,37020,1,0
30185,38527,4,637,2,Owns Property,Registered,36192,1,0
75503,44651,4,589,1,Owns Property,Registered,80514,0,0
31298,65657,0,655,2,Owns Property,Registered,34723,0,0
50113,50823,1,713,3,Owns Property,Registered,56825,1,0
31689,73562,1,685,3,Owns Property,Registered,40397,0,0
113399,67592,3,626,2,Owns Property,Registered,119141,0,0
12831,66656,0,616,3,Rents Property,Registered,12327,1,0
29346,54322,3,606,1,Owns Property,Registered,32645,1,0
137193,52981,2,604,1,Owns Property,Registered,141769,1,0
73815,60194,1,624,2,Owns Property,Registered,78039,0,0
36702,64269,4,710,3,Rents Property,Registered,38574,0,0
40199,31224,1,664,2,Owns Property,Registered,43678,0,0
60202,57874,0,648,1,Rents Property,Registered,65131,1,0
13478,44178,4,595,1,Owns Property,Not Registered,18891,1,0
92720,47027,0,696,3,Owns Property,Not Registered,97679,0,0
20870,54508,1,664,2,Owns Property,Registered,24098,1,0
50688,25153,1,602,2,Rents Property,Registered,53212,0,0
35150,73842,4,676,1,Rents Property,Not Registered,39134,0,0
108724,44563,3,643,2,Rents Property,Registered,112722,0,0
156508,41313,3,658,2,Rents Property,Registered,162370,1,0
77989,58257,2,580,1,Rents Property,Registered,80565,0,0
21784,56058,3,675,3,Owns Property,Registered,27093,0,0
155203,32397,0,674,2,Owns Property,Registered,160062,1,0
